param	date	value	month	season	fraction	measurement	metabolite_class
1-monopalmitoylglycerol_bnp	2011-03-21	-0.30053544061411513	03	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-03-21	-0.3848289696650288	03	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-03-21	-0.27595439542132116	03	Spring	intracellular	bnp	lipid related
1-oleoylglycerol_snp	2011-03-21	-0.3558250664049707	03	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-03-21	-0.1973477341490532	03	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-03-21	NA	03	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-03-21	-0.3373024682120554	03	Spring	extracellular	snp	lipid related
alanine_bp	2011-03-21	0.0175807033482376	03	Spring	intracellular	bp	amino acid
alanine_sp	2011-03-21	1.107639290257744	03	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-03-21	-0.5368258258914005	03	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-03-21	-1.5945314134810267	03	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-03-21	0.7185636178360234	03	Spring	online	pcparams	pH
cellobiose_sp	2011-03-21	-0.16868398575797758	03	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-03-21	0.9421284244962449	03	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-03-21	-0.48781467318994814	03	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-03-21	-0.6639094320720953	03	Spring	ratio	ratio	amino acid
glyceric acid_ratio	2011-03-21	2.754596950991201	03	Spring	ratio	ratio	lipid related
glycerol 2-phosphate_ratio	2011-03-21	-0.5980921480534179	03	Spring	ratio	ratio	lipid related
glycerol_bp	2011-03-21	-0.356918479793845	03	Spring	intracellular	bp	lipid related
glycerol_sp	2011-03-21	-0.3282504260076581	03	Spring	extracellular	sp	lipid related
glycerol-3-phosphate_ratio	2011-03-21	NA	03	Spring	ratio	ratio	lipid related
hexadecanoic acid_snp	2011-03-21	-0.4020889733187541	03	Spring	extracellular	snp	lipid related
hexadecenoic acid_snp	2011-03-21	-0.3614615364184293	03	Spring	extracellular	snp	lipid related
lactose_ratio	2011-03-21	-0.1850023216639938	03	Spring	ratio	ratio	carbohydrate
lactose_sp	2011-03-21	-0.14546689727277407	03	Spring	extracellular	sp	carbohydrate
mannitol_ratio	2011-03-21	-0.057761709311747164	03	Spring	ratio	ratio	carbohydrate
mannose_bp	2011-03-21	0.14776342878422094	03	Spring	intracellular	bp	carbohydrate
mannose_ratio	2011-03-21	-0.20432296938177189	03	Spring	ratio	ratio	carbohydrate
mannose_sp	2011-03-21	-0.21236350700467746	03	Spring	extracellular	sp	carbohydrate
nitrate_pcparams	2011-03-21	-0.2908679354191447	03	Spring	online	pcparams	NA
octadecadienoic acid_snp	2011-03-21	-0.35765899236039345	03	Spring	extracellular	snp	lipid related
octadecan-1-ol_snp	2011-03-21	-0.4344922429718685	03	Spring	extracellular	snp	lipid related
octadecenoic acid_snp	2011-03-21	-0.36664311861547305	03	Spring	extracellular	snp	lipid related
outflow conductivity_pcparams	2011-03-21	-0.5101577860614632	03	Spring	online	pcparams	conductivity
proline_ratio	2011-03-21	-0.5950676005866526	03	Spring	ratio	ratio	amino acid
putrescine_bp	2011-03-21	0.11990214005925391	03	Spring	intracellular	bp	organonitrogen compound
putrescine_ratio	2011-03-21	-0.4999995545930971	03	Spring	ratio	ratio	organonitrogen compound
serine_ratio	2011-03-21	-0.5697102061789894	03	Spring	ratio	ratio	amino acid
sucrose_ratio	2011-03-21	-0.2433540501048122	03	Spring	ratio	ratio	carbohydrate
threonine_ratio	2011-03-21	-0.5473860721146856	03	Spring	ratio	ratio	amino acid
1-monopalmitoylglycerol_bnp	2011-03-29	-0.44902517967244016	03	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-03-29	-0.3848289696650288	03	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-03-29	-0.4558065141152915	03	Spring	intracellular	bnp	lipid related
1-oleoylglycerol_snp	2011-03-29	-0.3471283046848877	03	Spring	extracellular	snp	lipid related
2-oleoylglycerol_bnp	2011-03-29	-0.49365103922456705	03	Spring	intracellular	bnp	lipid related
2-oleoylglycerol_ratio	2011-03-29	NA	03	Spring	ratio	ratio	lipid related
2-oleoylglycerol_snp	2011-03-29	-0.3373024682120554	03	Spring	extracellular	snp	lipid related
alanine_bp	2011-03-29	1.9004374955371437	03	Spring	intracellular	bp	amino acid
alanine_sp	2011-03-29	2.784192465357395	03	Spring	extracellular	sp	amino acid
aspartic acid_ratio	2011-03-29	-0.4444427323709594	03	Spring	ratio	ratio	amino acid
BB1_dry-mass_pcparams	2011-03-29	-0.37444192372531654	03	Spring	online	pcparams	NA
BB1_pH_pcparams	2011-03-29	1.0716531836106928	03	Spring	online	pcparams	pH
cellobiose_sp	2011-03-29	-0.39730421962411366	03	Spring	extracellular	sp	carbohydrate
cholesterol_ratio	2011-03-29	0.12493192275040443	03	Spring	ratio	ratio	lipid related
cholesterol_snp	2011-03-29	-0.3414504846302438	03	Spring	extracellular	snp	lipid related
glutamic acid_ratio	2011-03-29	-0.6047008969521722	03	Spring	ratio	ratio	amino acid
glyceric acid_ratio	2011-03-29	0.04021528796525491	03	Spring	ratio	ratio	lipid related
glycerol 2-phosphate_ratio	2011-03-29	-0.5953557678512623	03	Spring	ratio	ratio	lipid related
glycerol_bp	2011-03-29	-0.4523924177737496	03	Spring	intracellular	bp	lipid related
glycerol_sp	2011-03-29	-0.49827964423768417	03	Spring	extracellular	sp	lipid related
glycerol-3-phosphate_ratio	2011-03-29	-0.2157364939683362	03	Spring	ratio	ratio	lipid related
hexadecanoic acid_snp	2011-03-29	-0.42719961606513784	03	Spring	extracellular	snp	lipid related
hexadecenoic acid_snp	2011-03-29	-0.3297943395517418	03	Spring	extracellular	snp	lipid related
lactose_ratio	2011-03-29	0.5781660833074787	03	Spring	ratio	ratio	carbohydrate
lactose_sp	2011-03-29	-0.3257256362627134	03	Spring	extracellular	sp	carbohydrate
mannitol_ratio	2011-03-29	-0.20573393251812794	03	Spring	ratio	ratio	carbohydrate
mannose_bp	2011-03-29	0.4548416736030818	03	Spring	intracellular	bp	carbohydrate
mannose_ratio	2011-03-29	-0.07325268420748497	03	Spring	ratio	ratio	carbohydrate
mannose_sp	2011-03-29	-0.23891134648681592	03	Spring	extracellular	sp	carbohydrate
nitrate_pcparams	2011-03-29	-1.3633649514049566	03	Spring	online	pcparams	NA
octadecadienoic acid_snp	2011-03-29	-0.3703858384881097	03	Spring	extracellular	snp	lipid related
octadecan-1-ol_snp	2011-03-29	-0.39650692963008877	03	Spring	extracellular	snp	lipid related
octadecenoic acid_snp	2011-03-29	-0.3737397914356163	03	Spring	extracellular	snp	lipid related
outflow conductivity_pcparams	2011-03-29	0.30220868504606546	03	Spring	online	pcparams	conductivity
proline_ratio	2011-03-29	-0.48161298833004845	03	Spring	ratio	ratio	amino acid
putrescine_bp	2011-03-29	0.32869915904615626	03	Spring	intracellular	bp	organonitrogen compound
putrescine_ratio	2011-03-29	-0.5692976697108076	03	Spring	ratio	ratio	organonitrogen compound
serine_ratio	2011-03-29	-0.5298258419587473	03	Spring	ratio	ratio	amino acid
sucrose_ratio	2011-03-29	-0.6607085606163955	03	Spring	ratio	ratio	carbohydrate
threonine_ratio	2011-03-29	-0.4735530478337713	03	Spring	ratio	ratio	amino acid
1-monopalmitoylglycerol_bnp	2011-04-05	-0.296323557278593	04	Spring	intracellular	bnp	lipid related
1-monopalmitoylglycerol_snp	2011-04-05	-0.30807517726633576	04	Spring	extracellular	snp	lipid related
1-oleoylglycerol_bnp	2011-04-05	-0.36541202658221067	04	Spring	intracellular	bnp	lipid related
