"","x"
"thrL",838
"thrA",13186
"thrB",4024
"thrC",4357
"yaaX",98
"yaaA",267
"yaaJ",107
"talB",4179
"mog",138
"satP",85
"yaaW",30
"yaaI",11
"dnaK",4645
"dnaJ",857
"insL1",0
"mokC",0
"hokC",0
"sokC",2
"nhaA",297
"nhaR",226
"insB1",123
"insA",73
"rpsT",2372
"yaaY",17
"ribF",994
"ileS",7164
"lspA",612
"fkpB",538
"ispH",656
"rihC",54
"dapB",1072
"carA",565
"carB",1347
"caiF",25
"caiE",12
"caiD",7
"caiC",55
"caiB",43
"caiA",44
"caiT",12
"fixA",13
"fixB",9
"fixC",17
"fixX",1
"yaaU",14
"kefF",49
"kefC",221
"folA",107
"apaH",347
"apaG",286
"rsmA",758
"pdxA",722
"surA",2128
"lptD",3965
"djlA",204
"yabP",247
"rluA",113
"rapA",585
"polB",202
"araD",12
"araA",38
"araB",24
"araC",205
"yabI",136
"thiQ",137
"thiP",372
"thiB",648
"sgrR",199
"sgrS",3
"sgrT",0
"setA",263
"leuD",3864
"leuC",8030
"leuB",4881
"leuA",7044
"leuL",228
"leuO",40
"ilvI",3495
"ilvH",1310
"cra",685
"mraZ",477
"rsmH",826
"ftsL",240
"ftsI",1032
"murE",1388
"murF",1399
"mraY",602
"murD",1124
"ftsW",691
"murG",688
"murC",1189
"ddlB",828
"ftsQ",668
"ftsA",1661
"ftsZ",5328
"lpxC",5539
"secM",502
"secA",3000
"mutT",72
"yacG",115
"zapD",430
"coaE",223
"guaC",1592
"hofC",39
"hofB",59
"ppdD",2
"nadC",377
"ampD",133
"ampE",394
"aroP",4327
"pdhR",365
"aceE",18177
"aceF",10495
"lpd",10935
"yacH",67
"acnB",8072
"yacL",186
"speD",862
"speE",828
"yacC",84
"cueO",327
"gcd",3703
"hpt",432
"can",3763
"yadG",358
"yadH",297
"yadI",74
"yadE",119
"panD",1064
"yadD",117
"panC",1856
"panB",1040
"yadC",17
"yadK",14
"yadL",16
"yadM",7
"htrE",25
"yadV",5
"yadN",2
"folK",141
"pcnB",1350
"gluQ",95
"dksA",2384
"sfsA",552
"ligT",60
"hrpB",305
"mrcB",825
"fhuA",4003
"fhuC",504
"fhuD",312
"fhuB",492
"hemL",1812
"clcA",508
"erpA",650
"yadS",88
"btuF",145
"mtn",839
"dgt",379
"degP",1660
"cdaR",67
"yaeH",873
"yaeI",60
"dapD",3891
"glnD",998
"map",1226
"tff",462
"rpsB",8730
"tsf",4989
"pyrH",776
"frr",2869
"dxr",427
"ispU",660
"cdsA",431
"rseP",1315
"bamA",6397
"skp",3158
"lpxD",3864
"fabZ",1002
"lpxA",1533
"lpxB",766
"rnhB",165
"dnaE",1104
"accA",1332
"ldcC",433
"yaeR",125
"tilS",370
"rof",285
"yaeP",198
"yaeQ",96
"arfB",93
"nlpE",256
"yaeF",33
"proS",3025
"tsaA",214
"rcsF",329
"metQ",1913
"metI",250
"metN",366
"gmhB",296
"rrsH",2314
"ileV",0
"alaV",13
"rrlH",50199
"rrfH",0
"aspU",46
"dkgB",197
"yafC",149
"yafD",637
"yafE",87
"mltD",1800
"gloB",289
"yafS",169
"rnhA",150
"dnaQ",290
"aspV",34
"yafT",12
"ykfM",10
"yafU",0
"yafF",8
"yafV",186
"ivy",1127
"fadE",323
"gmhA",786
"yafJ",651
"yafK",845
"yafQ",167
"dinJ",138
"yafL",17
"rayT",37
"lfhA",35
"lafU",8
"dinB",96
"yafN",29
"yafO",29
"yafP",13
"ykfJ",0
"prfH",39
"pepD",3335
"gpt",198
"frsA",362
"crl",66
"phoE",10
"proB",1429
"proA",1593
"thrW",41
"ykfN",0
"ykfI",15
"yafW",12
"ykfH",1
"ykfG",9
"yafX",63
"ykfF",37
"ykfB",118
"yafY",24
"ykfL",4
"ykfK",1
"yafZ",44
"ykfA",86
"perR",39
"insN",84
"insI1",5
"eyeA",20
"ykfC",144
"insH1",5
"mmuP",62
"mmuM",161
"afuC",30
"afuB",13
"insX",54
"yagB",90
"yagA",29
"yagE",14
"yagF",48
"yagG",60
"yagH",113
"yagI",162
"argF",155
"ykgS",3
"yagJ",35
"yagK",47
"yagL",24
"yagM",15
"yagN",209
"intF",351
"ptwF",0
"yagP",20
"ykgT",0
"paoD",30
"paoC",98
"paoB",35
"paoA",15
"yagU",1852
"ykgJ",46
"ecpE",26
"ecpD",85
"ecpC",61
"ecpB",16
"ecpA",110
"ecpR",6
"ykgL",1111
"ykgO",5513
"ykgM",9276
"ykgR",18
"ykgP",2
"eaeH",8
"insE1",0
"insF1",0
"ykgA",53
"ykgQ",2
"rclC",8
"rclB",3
"rclA",123
"rclR",31
"ykgE",14
"ykgF",69
"ykgG",51
"ykgH",7
"betA",374
"betB",658
