"","x"
"thrL",476
"thrA",18554
"thrB",5292
"thrC",6141
"yaaX",145
"yaaA",289
"yaaJ",86
"talB",4527
"mog",158
"satP",93
"yaaW",24
"yaaI",13
"dnaK",10772
"dnaJ",1522
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",369
"nhaR",214
"insB1",142
"insA",83
"rpsT",2170
"yaaY",13
"ribF",979
"ileS",7287
"lspA",620
"fkpB",520
"ispH",653
"rihC",61
"dapB",867
"carA",2189
"carB",5239
"caiF",65
"caiE",26
"caiD",13
"caiC",98
"caiB",68
"caiA",49
"caiT",17
"fixA",8
"fixB",16
"fixC",28
"fixX",2
"yaaU",22
"kefF",55
"kefC",198
"folA",129
"apaH",391
"apaG",299
"rsmA",736
"pdxA",820
"surA",2082
"lptD",3977
"djlA",166
"yabP",209
"rluA",143
"rapA",648
"polB",175
"araD",19
"araA",42
"araB",38
"araC",202
"yabI",142
"thiQ",130
"thiP",288
"thiB",659
"sgrR",175
"sgrS",1
"sgrT",0
"setA",267
"leuD",2746
"leuC",6082
"leuB",4103
"leuA",5724
"leuL",104
"leuO",29
"ilvI",2883
"ilvH",1106
"cra",756
"mraZ",369
"rsmH",711
"ftsL",231
"ftsI",748
"murE",1141
"murF",1161
"mraY",487
"murD",924
"ftsW",573
"murG",595
"murC",1052
"ddlB",696
"ftsQ",704
"ftsA",1480
"ftsZ",4726
"lpxC",6096
"secM",466
"secA",2582
"mutT",68
"yacG",121
"zapD",441
"coaE",235
"guaC",1181
"hofC",57
"hofB",31
"ppdD",6
"nadC",410
"ampD",145
"ampE",357
"aroP",3080
"pdhR",702
"aceE",21835
"aceF",12282
"lpd",10513
"yacH",99
"acnB",7014
"yacL",139
"speD",1326
"speE",1105
"yacC",125
"cueO",455
"gcd",1918
"hpt",428
"can",2136
"yadG",462
"yadH",282
"yadI",86
"yadE",138
"panD",986
"yadD",98
"panC",1968
"panB",1295
"yadC",45
"yadK",13
"yadL",19
"yadM",14
"htrE",52
"yadV",13
"yadN",8
"folK",201
"pcnB",1680
"gluQ",115
"dksA",1774
"sfsA",327
"ligT",74
"hrpB",338
"mrcB",724
"fhuA",4713
"fhuC",653
"fhuD",362
"fhuB",538
"hemL",1430
"clcA",340
"erpA",572
"yadS",120
"btuF",213
"mtn",754
"dgt",347
"degP",1488
"cdaR",84
"yaeH",561
"yaeI",93
"dapD",3224
"glnD",956
"map",1331
"tff",345
"rpsB",10053
"tsf",5184
"pyrH",1053
"frr",2673
"dxr",452
"ispU",680
"cdsA",436
"rseP",1146
"bamA",5383
"skp",2626
"lpxD",3767
"fabZ",970
"lpxA",1546
"lpxB",753
"rnhB",218
"dnaE",1069
"accA",1432
"ldcC",311
"yaeR",92
"tilS",329
"rof",225
"yaeP",117
"yaeQ",88
"arfB",100
"nlpE",223
"yaeF",44
"proS",3100
"tsaA",286
"rcsF",314
"metQ",4204
