"","x"
"thrL",392
"thrA",16943
"thrB",5537
"thrC",6467
"yaaX",156
"yaaA",286
"yaaJ",97
"talB",3867
"mog",169
"satP",159
"yaaW",19
"yaaI",6
"dnaK",9338
"dnaJ",1493
"insL1",0
"mokC",0
"hokC",0
"sokC",0
"nhaA",315
"nhaR",202
"insB1",122
"insA",51
"rpsT",2898
"yaaY",15
"ribF",1021
"ileS",8209
"lspA",775
"fkpB",654
"ispH",802
"rihC",104
"dapB",1499
"carA",4699
"carB",10898
"caiF",106
"caiE",30
"caiD",11
"caiC",84
"caiB",57
"caiA",89
"caiT",9
"fixA",1
"fixB",6
"fixC",10
"fixX",2
"yaaU",14
"kefF",38
"kefC",144
"folA",158
"apaH",379
"apaG",353
"rsmA",899
"pdxA",813
"surA",2159
"lptD",3884
"djlA",184
"yabP",260
"rluA",162
"rapA",721
"polB",205
"araD",8
"araA",51
"araB",11
"araC",258
"yabI",145
"thiQ",172
"thiP",290
"thiB",571
"sgrR",200
"sgrS",1
"sgrT",0
"setA",273
"leuD",4308
"leuC",8949
"leuB",5649
"leuA",5801
"leuL",77
"leuO",31
"ilvI",3025
"ilvH",1115
"cra",1032
"mraZ",392
"rsmH",707
"ftsL",230
"ftsI",714
"murE",1273
"murF",1329
"mraY",540
"murD",999
"ftsW",608
"murG",608
"murC",1181
"ddlB",766
"ftsQ",635
"ftsA",1467
"ftsZ",4692
"lpxC",5683
"secM",555
"secA",3050
"mutT",83
"yacG",138
"zapD",448
"coaE",204
"guaC",1268
"hofC",47
"hofB",50
"ppdD",3
"nadC",327
"ampD",90
"ampE",378
"aroP",4176
"pdhR",675
"aceE",22053
"aceF",12621
"lpd",12727
"yacH",65
"acnB",11377
"yacL",162
"speD",1897
"speE",1778
"yacC",104
"cueO",593
"gcd",1852
"hpt",472
"can",1744
"yadG",418
"yadH",317
"yadI",97
"yadE",145
"panD",930
"yadD",89
"panC",1946
"panB",1211
"yadC",25
"yadK",8
"yadL",18
"yadM",5
"htrE",27
"yadV",4
"yadN",4
"folK",201
"pcnB",1734
"gluQ",107
"dksA",1814
"sfsA",353
"ligT",75
"hrpB",315
"mrcB",853
"fhuA",6918
"fhuC",886
"fhuD",499
"fhuB",796
"hemL",1375
"clcA",275
"erpA",421
"yadS",114
"btuF",192
"mtn",774
"dgt",324
"degP",1190
"cdaR",95
"yaeH",486
"yaeI",105
"dapD",3975
"glnD",1064
"map",1386
"tff",286
"rpsB",12704
"tsf",6343
"pyrH",1310
"frr",3112
"dxr",488
"ispU",738
"cdsA",574
"rseP",1420
"bamA",6155
"skp",2792
"lpxD",4120
"fabZ",1143
"lpxA",1775
"lpxB",826
"rnhB",270
"dnaE",1323
"accA",1785
"ldcC",276
"yaeR",86
"tilS",378
"rof",218
"yaeP",89
"yaeQ",103
"arfB",117
"nlpE",187
"yaeF",35
"proS",3503
"tsaA",258
"rcsF",291
"metQ",5322
"metI",862
"metN",1076
"gmhB",303
"rrsH",3966
"ileV",0
"alaV",19
"rrlH",58936
"rrfH",0
"aspU",66
"dkgB",114
"yafC",132
"yafD",655
