"","x"
"thrL",444
"thrA",10189
"thrB",3333
"thrC",3837
"yaaX",101
"yaaA",174
"yaaJ",53
"talB",3026
"mog",113
"satP",57
"yaaW",14
"yaaI",1
"dnaK",8535
"dnaJ",1479
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",203
"nhaR",131
"insB1",104
"insA",60
"rpsT",1832
"yaaY",6
"ribF",718
"ileS",5036
"lspA",519
"fkpB",423
"ispH",565
"rihC",47
"dapB",921
"carA",1247
"carB",3258
"caiF",24
"caiE",19
"caiD",9
"caiC",21
"caiB",38
"caiA",35
"caiT",1
"fixA",3
"fixB",2
"fixC",20
"fixX",3
"yaaU",10
"kefF",24
"kefC",90
"folA",94
"apaH",249
"apaG",181
"rsmA",495
"pdxA",685
"surA",1765
"lptD",2648
"djlA",107
"yabP",167
"rluA",79
"rapA",380
"polB",120
"araD",6
"araA",23
"araB",9
"araC",90
"yabI",148
"thiQ",117
"thiP",289
"thiB",410
"sgrR",151
"sgrS",0
"sgrT",0
"setA",140
"leuD",2217
"leuC",4672
"leuB",2975
"leuA",3228
"leuL",126
"leuO",18
"ilvI",2722
"ilvH",977
"cra",593
"mraZ",234
"rsmH",531
"ftsL",191
"ftsI",717
"murE",1073
"murF",956
"mraY",475
"murD",766
"ftsW",548
"murG",521
"murC",853
"ddlB",409
"ftsQ",439
"ftsA",912
"ftsZ",2717
"lpxC",3621
"secM",587
"secA",4714
"mutT",87
"yacG",85
"zapD",282
"coaE",127
"guaC",893
"hofC",31
"hofB",35
"ppdD",5
"nadC",307
"ampD",118
"ampE",257
"aroP",3225
"pdhR",407
"aceE",10350
"aceF",6467
"lpd",6895
"yacH",46
"acnB",6987
"yacL",117
"speD",743
"speE",679
"yacC",160
"cueO",1253
"gcd",1174
"hpt",332
"can",1758
"yadG",257
"yadH",225
"yadI",50
"yadE",106
"panD",524
"yadD",70
"panC",1193
"panB",693
"yadC",7
"yadK",2
"yadL",4
"yadM",2
"htrE",15
"yadV",2
"yadN",5
"folK",140
"pcnB",1111
"gluQ",91
"dksA",1467
"sfsA",335
"ligT",44
"hrpB",230
"mrcB",594
"fhuA",3054
"fhuC",476
"fhuD",314
"fhuB",541
"hemL",1673
"clcA",399
"erpA",473
"yadS",83
"btuF",143
"mtn",510
"dgt",295
"degP",2251
"cdaR",54
"yaeH",345
"yaeI",84
"dapD",2989
"glnD",732
"map",954
"tff",272
"rpsB",6709
"tsf",3709
"pyrH",618
"frr",1713
"dxr",353
"ispU",542
"cdsA",443
"rseP",1031
"bamA",4411
"skp",1688
"lpxD",2099
"fabZ",605
"lpxA",815
"lpxB",466
"rnhB",250
"dnaE",822
"accA",970
"ldcC",166
"yaeR",62
"tilS",219
"rof",153
"yaeP",114
"yaeQ",103
"arfB",102
"nlpE",141
"yaeF",48
"proS",1996
"tsaA",181
"rcsF",258
"metQ",2677
"metI",389
"metN",315
"gmhB",193
"rrsH",4990
"ileV",0
"alaV",7
"rrlH",64899
"rrfH",0
"aspU",29
"dkgB",77
"yafC",76
"yafD",447
"yafE",116
"mltD",1086
"gloB",103
"yafS",97
"rnhA",108
"dnaQ",147
"aspV",22
"yafT",14
"ykfM",0
"yafU",0
"yafF",7
"yafV",105
"ivy",495
"fadE",166
"gmhA",508
"yafJ",503
"yafK",503
"yafQ",117
"dinJ",89
"yafL",13
"rayT",19
"lfhA",26
"lafU",2
"dinB",53
"yafN",21
"yafO",32
"yafP",18
"ykfJ",2
"prfH",40
"pepD",1854
"gpt",139
"frsA",198
"crl",36
"phoE",8
"proB",879
"proA",988
"thrW",26
"ykfN",2
"ykfI",10
"yafW",13
"ykfH",1
"ykfG",8
"yafX",42
"ykfF",14
"ykfB",225
"yafY",15
"ykfL",1
"ykfK",1
"yafZ",17
"ykfA",59
"perR",15
"insN",69
"insI1",3
"eyeA",7
"ykfC",46
"insH1",5
"mmuP",79
"mmuM",122
"afuC",19
"afuB",6
"insX",21
"yagB",33
"yagA",1
"yagE",7
"yagF",34
"yagG",17
"yagH",79
"yagI",160
"argF",514
"ykgS",2
"yagJ",32
"yagK",23
"yagL",6
"yagM",7
"yagN",165
"intF",160
"ptwF",5
"yagP",16
"ykgT",0
"paoD",18
"paoC",40
"paoB",17
"paoA",13
"yagU",240
"ykgJ",25
"ecpE",15
"ecpD",39
"ecpC",40
"ecpB",13
"ecpA",82
"ecpR",8
"ykgL",171
"ykgO",536
"ykgM",703
"ykgR",2
"ykgP",0
"eaeH",1
"insE1",0
"insF1",0
"ykgA",40
"ykgQ",2
"rclC",7
"rclB",0
"rclA",17
"rclR",21
"ykgE",7
"ykgF",39
"ykgG",16
"ykgH",0
"betA",202
"betB",311
"betI",129
"betT",130
"yahA",40
"yahB",62
"yahC",0
"yahD",9
"yahE",5
"yahF",8
"yahG",18
"yahI",5
"yahJ",89
"yahK",231
"yahL",2
"yahM",1
"yahN",5
"yahO",82
"prpR",23
"prpB",2
"prpC",6
"prpD",7
"prpE",12
"codB",446
"codA",880
"cynR",52
"cynT",9
"cynS",8
"cynX",14
"lacA",2
"lacY",6
"lacZ",25
"lacI",143
"mhpR",70
"mhpA",7
"mhpB",9
"mhpC",12
"mhpD",9
"mhpF",16
"mhpE",30
"mhpT",24
"yaiL",98
"frmB",178
"frmA",453
"frmR",79
"yaiO",12
"yaiX",1
"insC1",0
"insD1",3
"yaiP",5
"yaiS",1
"tauA",8
"tauB",5
"tauC",11
"tauD",38
"hemB",560
"yaiT",56
"yaiV",9
"ampH",174
"sbmA",154
"yaiW",139
"yaiY",16
"yaiZ",21
"ddlA",217
"iraP",101
"phoA",241
"psiF",54
"yaiC",16
"proC",175
"yaiI",99
"aroL",580
"yaiA",268
"aroM",73
"yaiE",374
"ykiA",33
"rdgC",214
"mak",106
"araJ",70
"sbcC",280
"sbcD",106
"phoB",108
"phoR",155
"brnQ",300
"proY",201
"malZ",152
"acpH",70
"queA",203
"tgt",563
"yajC",679
"secD",1786
"secF",783
"yajD",93
"tsx",402
"yajI",19
"nrdR",151
"ribD",574
"ribE",563
"nusB",565
"thiL",257
"pgpA",267
"yajO",236
"dxs",743
"ispA",474
"xseB",111
"thiI",307
"yajL",157
"panE",154
"yajQ",515
"yajR",154
"cyoE",3079
"cyoD",1070
"cyoC",2010
"cyoB",7115
"cyoA",3957
"ampG",389
"yajG",353
"bolA",350
"tig",5231
"clpP",1292
"clpX",3280
"lon",3440
"hupB",1902
"ppiD",1778
"ybaV",22
"fadM",20
"queC",271
"ybaE",43
"cof",87
"ybaO",47
"mdlA",118
"mdlB",118
"glnK",38
"amtB",312
"tesB",112
"ybaY",300
"ybaZ",71
"ffs",89
"ybaA",8
"ylaB",81
"ylaC",86
"maa",201
"hha",517
"tomB",245
"acrB",6897
"acrA",3247
"acrR",463
"mscK",537
"ybaM",39
"priC",84
"ybaN",235
"apt",482
"dnaX",791
"ybaB",403
"recR",526
"htpG",2241
"adk",947
"hemH",92
"aes",26
"gsk",249
"ybaL",491
"fsr",90
"ushA",490
"ybaK",89
"chiX",7
"ybaP",147
"ybaQ",159
"copA",4875
"glsA",33
"ybaT",55
"cueR",97
"ybbJ",76
"qmcA",175
"fetA",59
"fetB",110
"ybbN",900
"ybbO",321
"tesA",253
"ybbA",144
"ybbP",370
"rhsD",67
"ybbC",25
"rhsH",22
"ybbD",10
"ylbI",5
"ylbG",8
"mnmH",50
"allS",6
"allA",8
"allR",522
"gcl",8
"hyi",4
"glxR",5
"ybbW",4
"allB",14
"ybbY",13
"glxK",21
"allE",117
"allC",33
"allD",5
"fdrA",2
"ylbE",9
"ylbF",4
"ybcF",42
"purK",708
"purE",374
"lpxH",266
"ppiB",1185
"cysS",510
"ybcI",21
"ybcJ",150
"folD",600
"sfmA",1
"sfmC",0
"sfmD",17
"sfmH",5
"sfmF",8
"sfmZ",2
"argU",4
"intD",134
"xisD",0
"exoD",4
"peaD",2
"renD",22
"emrE",25
"ybcK",8
"ybcL",6
"ybcM",33
"ylcH",0
"ybcN",1
"ninE",0
"ybcO",0
"rusA",3
"ylcG",1
"quuD",7
"nmpC",421
"essD",6
"rrrD",12
"rzpD",20
"rzoD",0
"borD",114
"ybcV",1
"ybcW",0
"ylcI",5
"nohD",1
"aaaD",2
"tfaD",3
"ybcY",14
"tfaX",4
"appY",14
"ompT",11112
"pauD",4
"envY",5
"ybcH",20
"nfrA",91
"nfrB",26
"cusS",130
"cusR",62
"cusC",144
"cusF",63
"cusB",121
"cusA",144
"pheP",151
"ybdG",169
"nfsB",516
"ybdF",42
"ybdJ",19
"ybdK",66
"sokE",0
"hokE",1
"entD",721
"fepA",14361
"fes",1402
"ybdZ",286
"entF",8753
"fepE",61
"fepC",372
"fepG",217
"fepD",246
"entS",452
"fepB",705
"entC",2935
"entE",4434
"entB",2760
"entA",2115
"entH",1197
"cstA",1080
"ybdD",26
"ybdH",146
"ybdL",91
"ybdM",26
"ybdN",7
"ybdO",7
"dsbG",90
"ahpC",6531
"ahpF",967
"uspG",204
"ybdR",49
"rnk",159
"rna",212
"citT",8
"citG",0
"citX",6
"citF",0
"citE",8
"citD",1
"citC",2
"citA",64
"citB",42
"dcuC",29
"pagP",23
"cspE",3263
"flc",30
"ybeM",60
"tatE",159
"lipA",435
"ybeF",22
"lipB",148
"ybeD",256
"dacA",895
"rlpA",682
"mrdB",194
"mrdA",376
"rlmH",188
"rsfS",148
"cobC",66
"nadD",224
"holA",403
"lptE",546
"leuS",2505
"ybeL",197
"ybeQ",42
"ybeR",2
"djlB",16
"ybeT",1
"ybeU",4
"djlC",30
"hscC",19
"rihA",54
"gltL",160
"gltK",101
"gltJ",193
"gltI",1023
"lnt",621
"ybeX",1207
"ybeY",330
"ybeZ",935
"miaB",403
"ubiF",321
"glnX",44
"glnV",96
"metU",66
"glnW",185
"glnU",203
"leuW",175
"metT",6
"asnB",1010
"umpH",407
"nagC",556
"nagA",386
"nagB",158
"nagE",413
"glnS",1801
"chiP",8
"chiQ",18
"fur",801
"uof",67
"fldA",530
"ybfE",41
"ybfF",86
"seqA",410
"pgm",1836
"ybfP",20
"ybfG",2
"ybfI",2
"potE",25
"speF",7
"ybfK",0
"kdpE",52
"kdpD",171
"kdpC",14
"kdpB",21
"kdpA",10
"kdpF",0
"ybfA",151
"rhsC",75
"ybfB",1
"rhsO",10
"ybfC",4
"ybfQ",2
"ybfL",5
"ybfD",4
"ybgA",42
"phr",118
"dtpD",96
"ybgI",699
"ybgJ",568
"ybgK",643
"ybgL",380
"nei",164
"abrB",101
"ybgO",23
"ybgP",5
"ybgQ",11
"ybgD",3
"gltA",3475
"sdhC",154
"sdhD",117
"sdhA",638
"sdhB",214
"sucA",2583
"sucB",1759
"sucC",1637
"sucD",1332
"mngR",70
"mngA",4
"mngB",51
"cydA",1689
"cydB",1325
"cydX",135
"ybgE",186
"ybgC",112
"tolQ",316
"tolR",131
"tolA",417
"tolB",1891
"pal",3040
"ybgF",1219
"lysT",158
"valT",341
"lysW",165
"valZ",141
"lysY",57
"lysZ",56
"lysQ",24
"nadA",585
"pnuC",422
"zitB",139
"ybgS",56
"aroG",2844
"gpmA",6805
"galM",879
"galK",255
"galT",196
"galE",196
"modF",774
"modE",145
"acrZ",68
"modA",438
"modB",304
"modC",477
"ybhA",146
"pgl",751
"ybhD",23
"ybhH",0
"ybhI",4
"ybhJ",55
"ybhC",590
"ybhB",129
"bioA",156
"bioB",191
"bioF",152
"bioC",89
"bioD",63
"uvrB",341
"ybhK",130
"moaA",320
"moaB",240
"moaC",262
"moaD",65
"moaE",256
"ybhL",311
"ybhM",8
"ybhN",41
"clsB",69
"ybhP",54
"ybhQ",32
"ybhR",54
"ybhS",78
"ybhF",349
"ybhG",223
"ybiH",52
"rhlE",303
"ybiA",14
"dinG",131
"ybiB",331
"ybiC",987
"ybiJ",88
"ybiI",207
"ybiX",1105
"fiu",9743
"mcbA",9
"rlmF",111
"ybiO",60
"glnQ",388
"glnP",335
"glnH",1069
"dps",1616
"rhtA",35
"ompX",9368
"opgE",114
"mntS",176
"mntR",126
"ybiR",130
"ldtB",858
"ybiT",680
"ybiU",119
"ybiV",130
"ybiW",47
"ybiY",11
"fsaA",36
"moeB",196
"moeA",362
"iaaA",659
"gsiA",1206
"gsiB",859
"gsiC",288
"gsiD",216
"yliE",79
"yliF",52
"rimO",150
"bssR",15
"yliI",45
"gstB",533
"dacC",737
"deoR",257
"ybjG",326
"mdfA",79
"ybjH",66
"ybjI",185
"ybjJ",112
"rcdA",19
"rybB",6
"ybjL",268
"ybjM",13
"grxA",34
"ybjC",39
"nfsA",260
"rimK",224
"ybjN",98
"potF",633
"potG",352
"potH",160
"potI",163
"ybjO",48
"rlmC",92
"artJ",542
"artM",163
"artQ",159
"artI",304
"artP",205
"ybjP",137
"ybjQ",88
"amiD",250
"ybjS",182
"ybjT",407
"ltaE",439
"poxB",364
"hcr",21
"hcp",10
"ybjE",54
"aqpZ",40
"ybjD",521
"ybjX",1565
"macA",186
"macB",202
"cspD",503
"clpS",194
"clpA",7504
"serW",9
"infA",701
"aat",154
"cydC",381
"cydD",356
"trxB",1318
"lrp",1730
"ftsK",1893
"lolA",428
"rarA",431
"serS",2238
"dmsA",17
"dmsB",8
"dmsC",32
"ycaC",82
"ycaD",149
"ycaM",6
"ycaN",36
"ycaK",15
"pflA",93
"pflB",6085
"focA",220
"ycaO",373
"ycaP",21
"serC",7260
"aroA",3208
"ycaL",42
"cmk",342
"rpsA",18198
"ihfB",1439
"ycaI",49
"msbA",673
"lpxK",270
"ycaQ",68
"ycaR",36
"kdsB",465
"ycbJ",49
"elyC",58
"smtA",223
"mukF",508
"mukE",342
"mukB",2300
"ldtD",672
"ycbK",703
"ycbL",876
"aspC",3475
"ompF",12005
"asnS",2581
"pncB",1290
"pepN",1979
"ssuB",70
"ssuC",8
"ssuD",20
"ssuA",7
"ssuE",9
"elfA",7
"elfD",6
"elfC",25
"elfG",34
"ycbU",9
"ycbV",13
"ycbF",44
"pyrD",171
"zapC",196
"ycbX",400
"rlmL",402
"uup",411
"pqiA",103
"pqiB",176
"pqiC",84
"rmf",1808
"fabA",1113
"ycbZ",604
"matP",63
"ompA",54359
"sulA",66
"sxy",48
"yccS",235
"yccF",39
"helD",425
"mgsA",323
"yccT",12
"yccU",158
"hspQ",320
"rlmI",199
"yccX",32
"tusE",87
"yccA",2198
"serT",6
"hyaA",21
"hyaB",14
"hyaC",8
"hyaD",7
"hyaE",5
"hyaF",7
"cbdA",30
"cbdB",23
"cbdX",7
"appA",55
"etk",72
"etp",5
"gfcE",21
"gfcD",20
"gfcC",2
"gfcB",3
"gfcA",12
"cspH",8
"cspG",508
"ymcE",24
"gnsA",52
"yccM",21
"torS",63
"torT",7
"torR",24
"torC",1
"torA",29
"torD",28
"cbpM",72
"cbpA",185
"yccE",1
"agp",97
"yccJ",169
"wrbA",304
"ymdF",23
"rutG",29
"rutF",8
"rutE",0
"rutD",7
"rutC",3
"rutB",2
"rutA",6
"rutR",51
"putA",319
"putP",394
"efeU",298
"efeO",451
"efeB",281
"phoH",441
"pgaD",37
"pgaC",13
"pgaB",16
"pgaA",33
"ycdT",44
"ymdE",0
"ycdU",0
"serX",2
"ghrA",482
"ycdX",452
"ycdY",401
"ycdZ",172
"csgG",84
"csgF",20
"csgE",21
"csgD",64
"csgB",0
"csgA",14
"csgC",4
"ymdA",54
"ymdB",85
"clsC",133
"opgC",68
"opgG",1249
"opgH",1582
"yceK",114
"msyB",130
"mdtG",29
"lpxL",124
"yceA",255
"yceI",400
"yceJ",43
"yceO",8
"solA",443
"bssS",113
"dinI",131
"pyrC",958
"yceB",105
"grxB",311
"mdtH",54
"rimJ",235
"yceH",355
"yceM",345
"murJ",240
"flgN",808
"flgM",395
"flgA",314
"flgB",449
"flgC",544
"flgD",1358
"flgE",2529
"flgF",1087
"flgG",1065
"flgH",488
"flgI",429
"flgJ",287
"flgK",3490
"flgL",3021
"rne",3204
"yceQ",182
"rluC",245
"yceF",180
"psrD",48
"yceD",2696
"rpmF",2374
"plsX",1290
"fabH",1145
"fabD",1390
"fabG",2431
"acpP",4441
"fabF",2243
"pabC",67
"yceG",93
"tmk",125
"holB",160
"ycfH",188
"ptsG",2987
"fhuE",2258
"hinT",244
"ycfL",227
"lpoB",455
"thiK",149
"nagZ",238
"ycfP",254
"ndh",898
"ycfJ",96
"ycfQ",255
"bhsA",16
"ldtC",229
"mfd",1072
"ycfT",7
"lolC",445
"lolD",221
"lolE",382
"nagK",405
"cobB",258
"ycfZ",21
"ymfA",24
"potD",1284
"potC",174
"potB",266
"potA",405
"pepT",346
"roxA",701
"phoQ",902
"phoP",837
"purB",1246
"hflD",314
"mnmA",578
"nudJ",69
"rluE",86
"icd",16480
"ymfD",12
"ymfE",1
"lit",33
"intE",13
"xisE",1
"ymfI",59
"ymfJ",36
"cohE",136
"croE",6
"ymfL",8
"ymfM",1
"oweE",1
"aaaE",11
"ymfR",0
"beeE",1
"jayE",7
"ymfQ",1
"stfP",5
"tfaP",1
"tfaE",1
"stfE",5
"pinE",2
"mcrA",37
"icdC",8
"iraM",19
"ycgX",9
"bluR",211
"bluF",247
"ycgZ",3
"ymgA",12
"ariR",5
"ymgC",2
"ycgG",16
"ymgF",1
"ycgH",32
"ymgD",37
"ymgG",29
"ymgI",1
"ymgJ",0
"ycgI",4
"minE",354
"minD",1032
"minC",623
"ycgJ",73
"pliG",385
"ycgL",116
"ycgM",317
"ycgN",110
"hlyE",3
"umuD",6
"umuC",41
"dsbB",319
"nhaB",424
"fadR",366
"ycgB",237
"dadA",181
"dadX",119
"cvrA",331
"ldcA",134
"emtA",339
"ycgR",1029
"ymgE",20
"ycgY",6
"treA",45
"dhaM",701
"dhaL",343
"dhaK",437
"dhaR",146
"ycgV",65
"ychF",591
"pth",89
"ychH",31
"dauA",79
"prs",1968
"ispE",313
"lolB",260
"hemA",329
"prfA",210
"prmC",84
"ychQ",26
"ychA",360
"kdsA",699
"ldrA",0
"rdlA",11
"ldrB",0
"rdlB",0
"ldrC",0
"rdlC",1
"chaA",1009
"chaB",22
"chaC",161
"ychN",138
"ychO",114
"narL",223
"narX",164
"narK",10
"narG",46
"narH",23
"narJ",14
"narI",9
"rttR",7
"tpr",0
"tyrV",38
"tyrT",17
"purU",605
"ychJ",175
"rssA",260
"rssB",179
"galU",747
"hns",2940
"tdk",88
"insZ",46
"adhE",4049
"ychE",20
"oppA",12538
"oppB",991
"oppC",686
"oppD",956
"oppF",895
"yciU",212
"clsA",659
"yciY",43
"kch",84
"yciI",347
"tonB",880
"yciA",64
"yciB",194
"yciC",191
"ompW",33
"yciE",9
"yciF",12
"yciG",5
"trpA",1150
"trpB",1694
"trpC",1065
"trpD",977
"trpE",678
"trpL",21
"yciV",113
"yciO",156
"yciQ",108
"rluB",321
"btuR",149
"yciK",181
"sohB",669
"yciN",99
"topA",1985
"cysB",392
"ymiA",4
"yciX",25
"acnA",808
"ribA",227
"pgpB",142
"yciS",127
"yciM",312
"pyrF",190
"yciH",87
"osmB",72
"yciT",275
"yciZ",42
"gmr",223
"ymiB",7
"rnb",1487
"yciW",233
"fabI",2231
"ycjD",9
"sapF",131
"sapD",145
"sapC",69
"sapB",92
