"","x"
"thrL",243
"thrA",9519
"thrB",3427
"thrC",4243
"yaaX",124
"yaaA",103
"yaaJ",37
"talB",2449
"mog",117
"satP",45
"yaaW",9
"yaaI",3
"dnaK",4852
"dnaJ",947
"insL1",0
"mokC",0
"hokC",0
"sokC",0
"nhaA",105
"nhaR",78
"insB1",75
"insA",19
"rpsT",1891
"yaaY",3
"ribF",458
"ileS",3426
"lspA",376
"fkpB",395
"ispH",456
"rihC",56
"dapB",677
"carA",2365
"carB",6297
"caiF",52
"caiE",13
"caiD",2
"caiC",40
"caiB",31
"caiA",36
"caiT",6
"fixA",5
"fixB",3
"fixC",11
"fixX",0
"yaaU",7
"kefF",12
"kefC",86
"folA",101
"apaH",190
"apaG",149
"rsmA",543
"pdxA",553
"surA",1226
"lptD",1840
"djlA",110
"yabP",115
"rluA",91
"rapA",350
"polB",87
"araD",2
"araA",18
"araB",10
"araC",70
"yabI",70
"thiQ",69
"thiP",194
"thiB",211
"sgrR",79
"sgrS",1
"sgrT",0
"setA",102
"leuD",781
"leuC",1570
"leuB",1169
"leuA",1046
"leuL",52
"leuO",13
"ilvI",1467
"ilvH",519
"cra",408
"mraZ",144
"rsmH",333
"ftsL",99
"ftsI",417
"murE",546
"murF",520
"mraY",289
"murD",437
"ftsW",378
"murG",329
"murC",574
"ddlB",277
"ftsQ",310
"ftsA",613
"ftsZ",1504
"lpxC",2620
"secM",310
"secA",1463
"mutT",53
"yacG",63
"zapD",220
"coaE",112
"guaC",514
"hofC",26
"hofB",18
"ppdD",1
"nadC",181
"ampD",50
"ampE",219
"aroP",2238
"pdhR",335
"aceE",6371
"aceF",4536
"lpd",6059
"yacH",42
"acnB",9784
"yacL",61
"speD",711
"speE",660
"yacC",91
"cueO",155
"gcd",786
"hpt",294
"can",1001
"yadG",188
"yadH",170
"yadI",44
"yadE",80
"panD",378
"yadD",33
"panC",722
"panB",546
"yadC",12
"yadK",3
"yadL",2
"yadM",7
"htrE",8
"yadV",2
"yadN",1
"folK",101
"pcnB",1025
"gluQ",65
"dksA",718
"sfsA",116
"ligT",37
"hrpB",153
"mrcB",434
"fhuA",1720
"fhuC",254
"fhuD",218
"fhuB",388
"hemL",615
"clcA",131
"erpA",303
"yadS",78
"btuF",122
"mtn",402
"dgt",122
"degP",541
"cdaR",40
"yaeH",122
"yaeI",64
"dapD",1801
"glnD",446
"map",778
"tff",294
"rpsB",7405
"tsf",3701
"pyrH",723
"frr",1511
"dxr",243
"ispU",482
"cdsA",299
"rseP",661
"bamA",2938
"skp",1273
"lpxD",1700
"fabZ",481
"lpxA",754
"lpxB",386
"rnhB",175
"dnaE",764
"accA",798
"ldcC",77
"yaeR",34
"tilS",202
"rof",62
"yaeP",28
"yaeQ",67
"arfB",43
"nlpE",89
"yaeF",31
"proS",1929
"tsaA",147
"rcsF",181
"metQ",1813
"metI",188
"metN",161
"gmhB",132
"rrsH",4090
"ileV",0
"alaV",5
"rrlH",81544
"rrfH",0
"aspU",32
"dkgB",51
"yafC",46
"yafD",228
"yafE",65
"mltD",1010
"gloB",65
"yafS",76
"rnhA",85
"dnaQ",115
"aspV",22
"yafT",7
"ykfM",3
"yafU",2
"yafF",5
"yafV",60
"ivy",101
"fadE",88
"gmhA",293
"yafJ",368
"yafK",399
"yafQ",110
"dinJ",48
"yafL",4
"rayT",15
"lfhA",20
"lafU",7
"dinB",39
"yafN",22
"yafO",15
"yafP",12
"ykfJ",2
"prfH",30
"pepD",1069
"gpt",189
"frsA",175
"crl",29
"phoE",2
"proB",505
"proA",627
"thrW",7
"ykfN",1
"ykfI",14
"yafW",6
"ykfH",1
"ykfG",3
"yafX",33
"ykfF",22
"ykfB",147
"yafY",8
"ykfL",0
"ykfK",0
"yafZ",18
"ykfA",42
"perR",13
"insN",52
"insI1",2
"eyeA",6
"ykfC",39
"insH1",1
"mmuP",49
"mmuM",103
"afuC",22
"afuB",4
"insX",27
"yagB",19
"yagA",6
"yagE",12
"yagF",41
"yagG",9
"yagH",51
"yagI",146
"argF",584
"ykgS",0
"yagJ",16
"yagK",14
"yagL",2
"yagM",4
"yagN",75
"intF",122
"ptwF",2
"yagP",7
"ykgT",0
"paoD",13
"paoC",35
"paoB",12
"paoA",2
"yagU",408
"ykgJ",22
"ecpE",10
"ecpD",29
"ecpC",29
"ecpB",3
"ecpA",23
"ecpR",6
"ykgL",5
"ykgO",4
"ykgM",12
"ykgR",0
"ykgP",0
"eaeH",1
"insE1",0
"insF1",1
"ykgA",15
"ykgQ",0
"rclC",8
"rclB",2
"rclA",7
"rclR",9
"ykgE",4
"ykgF",14
"ykgG",29
"ykgH",6
"betA",114
"betB",204
"betI",73
"betT",119
"yahA",51
"yahB",30
"yahC",2
"yahD",11
"yahE",6
"yahF",11
"yahG",20
"yahI",7
"yahJ",60
"yahK",89
"yahL",2
"yahM",3
"yahN",10
"yahO",23
"prpR",7
"prpB",3
"prpC",5
"prpD",6
"prpE",15
"codB",881
"codA",1739
"cynR",28
"cynT",11
"cynS",9
"cynX",19
"lacA",7
"lacY",8
"lacZ",12
"lacI",96
"mhpR",46
"mhpA",7
"mhpB",4
"mhpC",5
"mhpD",8
"mhpF",14
"mhpE",16
"mhpT",19
"yaiL",91
"frmB",141
"frmA",282
"frmR",51
"yaiO",10
"yaiX",5
"insC1",0
"insD1",2
"yaiP",8
"yaiS",4
"tauA",18
"tauB",7
"tauC",18
"tauD",25
"hemB",404
"yaiT",46
"yaiV",6
"ampH",115
"sbmA",86
"yaiW",111
"yaiY",16
"yaiZ",9
"ddlA",159
"iraP",80
"phoA",144
"psiF",28
"yaiC",29
"proC",219
"yaiI",66
"aroL",535
"yaiA",249
"aroM",89
"yaiE",124
"ykiA",22
"rdgC",166
"mak",88
"araJ",43
"sbcC",226
"sbcD",73
"phoB",43
"phoR",58
"brnQ",203
"proY",158
"malZ",132
"acpH",43
"queA",279
"tgt",567
"yajC",570
"secD",1624
"secF",820
"yajD",54
"tsx",878
"yajI",6
"nrdR",125
"ribD",399
"ribE",461
"nusB",677
"thiL",225
"pgpA",183
"yajO",148
"dxs",735
"ispA",435
"xseB",98
"thiI",363
"yajL",90
"panE",132
"yajQ",402
"yajR",157
"cyoE",3740
"cyoD",1349
"cyoC",2459
"cyoB",8543
"cyoA",4357
"ampG",419
"yajG",319
"bolA",118
"tig",4550
"clpP",676
"clpX",1883
"lon",1987
"hupB",1443
"ppiD",1063
"ybaV",22
"fadM",16
"queC",155
"ybaE",32
"cof",46
"ybaO",30
"mdlA",97
"mdlB",58
"glnK",18
"amtB",148
"tesB",88
"ybaY",122
"ybaZ",51
"ffs",126
"ybaA",14
"ylaB",73
"ylaC",77
"maa",91
"hha",148
"tomB",59
"acrB",2738
"acrA",1354
"acrR",96
"mscK",309
"ybaM",30
"priC",55
"ybaN",109
"apt",418
"dnaX",608
"ybaB",368
"recR",467
"htpG",1165
"adk",1050
"hemH",56
"aes",26
"gsk",271
"ybaL",304
"fsr",83
"ushA",292
"ybaK",76
"chiX",6
"ybaP",70
"ybaQ",65
"copA",514
"glsA",10
"ybaT",20
"cueR",59
"ybbJ",51
"qmcA",95
"fetA",46
"fetB",71
"ybbN",528
"ybbO",198
"tesA",100
"ybbA",46
"ybbP",134
"rhsD",66
"ybbC",17
"rhsH",13
"ybbD",6
"ylbI",2
"ylbG",7
"mnmH",38
"allS",2
"allA",2
"allR",348
"gcl",11
"hyi",3
"glxR",8
"ybbW",6
"allB",6
"ybbY",6
"glxK",14
"allE",47
"allC",18
"allD",4
"fdrA",4
"ylbE",7
"ylbF",9
"ybcF",48
"purK",744
"purE",390
"lpxH",228
"ppiB",810
"cysS",385
"ybcI",22
"ybcJ",130
"folD",431
"sfmA",5
"sfmC",1
"sfmD",15
"sfmH",6
"sfmF",4
"sfmZ",4
"argU",1
"intD",110
"xisD",0
"exoD",1
"peaD",5
"renD",18
"emrE",24
"ybcK",5
"ybcL",2
"ybcM",28
"ylcH",3
"ybcN",1
"ninE",0
"ybcO",0
"rusA",1
"ylcG",1
"quuD",7
"nmpC",752
"essD",7
"rrrD",10
"rzpD",15
"rzoD",0
"borD",74
"ybcV",5
"ybcW",1
"ylcI",0
"nohD",0
"aaaD",8
"tfaD",0
"ybcY",5
"tfaX",0
"appY",11
"ompT",6650
"pauD",0
"envY",10
"ybcH",17
"nfrA",77
"nfrB",26
"cusS",67
"cusR",43
"cusC",28
"cusF",22
"cusB",69
"cusA",116
"pheP",132
"ybdG",123
"nfsB",488
