"","x"
"thrL",366
"thrA",12836
"thrB",3984
"thrC",4621
"yaaX",118
"yaaA",189
"yaaJ",49
"talB",3381
"mog",123
"satP",69
"yaaW",3
"yaaI",7
"dnaK",7714
"dnaJ",1374
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",214
"nhaR",137
"insB1",98
"insA",34
"rpsT",1772
"yaaY",5
"ribF",767
"ileS",5614
"lspA",496
"fkpB",447
"ispH",577
"rihC",59
"dapB",781
"carA",1485
"carB",3681
"caiF",23
"caiE",13
"caiD",7
"caiC",29
"caiB",28
"caiA",29
"caiT",1
"fixA",0
"fixB",6
"fixC",13
"fixX",6
"yaaU",15
"kefF",29
"kefC",131
"folA",99
"apaH",271
"apaG",209
"rsmA",615
"pdxA",728
"surA",1783
"lptD",2916
"djlA",166
"yabP",181
"rluA",110
"rapA",499
"polB",124
"araD",3
"araA",23
"araB",14
"araC",87
"yabI",124
"thiQ",138
"thiP",332
"thiB",379
"sgrR",142
"sgrS",0
"sgrT",0
"setA",179
"leuD",2557
"leuC",5327
"leuB",3501
"leuA",4062
"leuL",87
"leuO",17
"ilvI",2832
"ilvH",983
"cra",597
"mraZ",236
"rsmH",470
"ftsL",156
"ftsI",673
"murE",1013
"murF",911
"mraY",500
"murD",719
"ftsW",438
"murG",455
"murC",941
"ddlB",480
"ftsQ",444
"ftsA",1003
"ftsZ",3118
"lpxC",3932
"secM",384
"secA",2508
"mutT",67
"yacG",84
"zapD",293
"coaE",129
"guaC",989
"hofC",24
"hofB",36
"ppdD",1
"nadC",256
"ampD",108
"ampE",264
"aroP",3114
"pdhR",465
"aceE",9160
"aceF",5569
"lpd",8628
"yacH",49
"acnB",9183
"yacL",123
"speD",877
"speE",813
"yacC",82
"cueO",1612
"gcd",2287
"hpt",311
"can",1950
"yadG",295
"yadH",199
"yadI",48
"yadE",107
"panD",455
"yadD",75
"panC",1233
"panB",699
"yadC",14
"yadK",5
"yadL",10
"yadM",11
"htrE",9
"yadV",2
"yadN",0
"folK",136
"pcnB",1272
"gluQ",82
"dksA",1552
"sfsA",320
"ligT",64
"hrpB",230
"mrcB",644
"fhuA",3503
"fhuC",543
"fhuD",352
"fhuB",589
"hemL",1154
"clcA",250
"erpA",362
"yadS",101
"btuF",154
"mtn",597
"dgt",256
"degP",912
"cdaR",54
"yaeH",349
"yaeI",91
"dapD",2765
"glnD",729
"map",1047
"tff",270
"rpsB",7977
"tsf",4521
"pyrH",740
"frr",1797
"dxr",342
"ispU",586
"cdsA",511
"rseP",1075
"bamA",4716
"skp",2125
"lpxD",2620
"fabZ",699
"lpxA",1186
"lpxB",589
"rnhB",248
"dnaE",879
"accA",1131
"ldcC",248
"yaeR",69
"tilS",256
"rof",202
"yaeP",85
"yaeQ",86
"arfB",73
"nlpE",145
"yaeF",34
"proS",2330
"tsaA",176
"rcsF",203
"metQ",3239
"metI",500
"metN",492
"gmhB",219
"rrsH",5722
"ileV",0
"alaV",12
"rrlH",57206
"rrfH",0
"aspU",36
"dkgB",89
"yafC",89
"yafD",482
"yafE",107
"mltD",1134
"gloB",131
"yafS",101
"rnhA",91
"dnaQ",145
"aspV",10
"yafT",10
"ykfM",3
"yafU",3
"yafF",9
"yafV",118
"ivy",292
"fadE",233
"gmhA",537
"yafJ",526
"yafK",482
"yafQ",138
"dinJ",64
"yafL",18
"rayT",36
"lfhA",19
"lafU",7
"dinB",59
"yafN",25
"yafO",25
"yafP",18
"ykfJ",1
"prfH",53
"pepD",2133
"gpt",144
"frsA",232
"crl",31
"phoE",6
"proB",1015
"proA",1149
"thrW",15
"ykfN",4
"ykfI",13
"yafW",4
"ykfH",4
"ykfG",16
"yafX",34
"ykfF",29
"ykfB",385
"yafY",21
"ykfL",2
"ykfK",0
"yafZ",10
"ykfA",50
"perR",21
"insN",79
"insI1",4
"eyeA",12
"ykfC",72
"insH1",3
"mmuP",143
"mmuM",178
"afuC",37
"afuB",8
"insX",30
"yagB",46
"yagA",2
"yagE",10
"yagF",31
"yagG",17
"yagH",79
"yagI",157
"argF",552
"ykgS",0
"yagJ",23
"yagK",27
"yagL",10
"yagM",4
"yagN",140
"intF",183
"ptwF",2
"yagP",19
"ykgT",0
"paoD",39
"paoC",62
"paoB",20
"paoA",16
"yagU",1009
"ykgJ",30
"ecpE",19
"ecpD",50
"ecpC",31
"ecpB",11
"ecpA",50
"ecpR",7
"ykgL",164
"ykgO",581
"ykgM",678
"ykgR",8
"ykgP",0
"eaeH",1
"insE1",0
"insF1",0
"ykgA",24
"ykgQ",1
"rclC",10
"rclB",3
"rclA",41
"rclR",19
"ykgE",7
"ykgF",32
"ykgG",33
"ykgH",1
"betA",252
"betB",418
"betI",125
"betT",152
"yahA",60
"yahB",51
"yahC",1
"yahD",15
"yahE",4
"yahF",5
"yahG",29
"yahI",11
"yahJ",115
"yahK",456
"yahL",2
"yahM",2
"yahN",6
"yahO",141
"prpR",38
"prpB",4
"prpC",3
"prpD",8
"prpE",17
"codB",514
"codA",943
"cynR",42
"cynT",14
"cynS",15
"cynX",18
"lacA",7
"lacY",10
"lacZ",25
"lacI",164
"mhpR",112
"mhpA",7
"mhpB",11
"mhpC",12
"mhpD",15
"mhpF",20
"mhpE",33
"mhpT",24
"yaiL",118
"frmB",282
"frmA",992
"frmR",163
"yaiO",14
"yaiX",3
"insC1",0
"insD1",2
"yaiP",9
"yaiS",1
"tauA",13
"tauB",22
"tauC",10
"tauD",39
"hemB",453
"yaiT",64
"yaiV",5
"ampH",171
"sbmA",132
"yaiW",155
"yaiY",14
"yaiZ",11
"ddlA",276
"iraP",97
"phoA",221
"psiF",40
"yaiC",25
"proC",218
"yaiI",97
"aroL",548
"yaiA",249
"aroM",110
"yaiE",327
"ykiA",41
"rdgC",232
"mak",161
"araJ",72
"sbcC",311
"sbcD",104
"phoB",147
"phoR",156
"brnQ",289
"proY",177
"malZ",174
"acpH",84
"queA",264
"tgt",568
"yajC",715
"secD",1915
"secF",782
"yajD",79
"tsx",620
"yajI",18
"nrdR",172
"ribD",547
"ribE",592
"nusB",729
"thiL",279
"pgpA",303
"yajO",391
"dxs",822
"ispA",523
"xseB",88
"thiI",350
"yajL",189
"panE",194
"yajQ",607
"yajR",121
"cyoE",2940
"cyoD",1030
"cyoC",1873
"cyoB",7070
"cyoA",3694
"ampG",406
"yajG",345
"bolA",503
"tig",5863
"clpP",1350
"clpX",3559
"lon",3484
"hupB",2630
"ppiD",1795
"ybaV",24
"fadM",22
"queC",213
"ybaE",34
"cof",83
"ybaO",15
"mdlA",101
"mdlB",112
"glnK",37
"amtB",307
"tesB",128
"ybaY",466
"ybaZ",58
"ffs",56
"ybaA",16
"ylaB",78
"ylaC",134
"maa",157
"hha",291
"tomB",90
"acrB",3062
"acrA",1447
"acrR",84
"mscK",597
"ybaM",29
"priC",80
"ybaN",252
"apt",511
"dnaX",858
"ybaB",455
"recR",637
"htpG",1896
"adk",1146
"hemH",133
"aes",46
"gsk",276
"ybaL",491
"fsr",116
"ushA",626
"ybaK",117
"chiX",7
"ybaP",124
"ybaQ",176
"copA",5779
"glsA",47
"ybaT",67
"cueR",110
"ybbJ",129
"qmcA",198
"fetA",57
"fetB",102
"ybbN",913
"ybbO",349
"tesA",231
"ybbA",116
"ybbP",207
"rhsD",94
"ybbC",28
"rhsH",24
"ybbD",4
"ylbI",4
"ylbG",27
"mnmH",38
"allS",8
