"","x"
"thrL",461
"thrA",11648
"thrB",3400
"thrC",4092
"yaaX",95
"yaaA",192
"yaaJ",52
"talB",4082
"mog",115
"satP",53
"yaaW",11
"yaaI",6
"dnaK",7167
"dnaJ",937
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",138
"nhaR",83
"insB1",88
"insA",44
"rpsT",2141
"yaaY",14
"ribF",891
"ileS",5097
"lspA",524
"fkpB",376
"ispH",481
"rihC",60
"dapB",693
"carA",1699
"carB",3816
"caiF",37
"caiE",7
"caiD",11
"caiC",44
"caiB",35
"caiA",43
"caiT",8
"fixA",5
"fixB",4
"fixC",19
"fixX",8
"yaaU",9
"kefF",37
"kefC",91
"folA",93
"apaH",244
"apaG",215
"rsmA",489
"pdxA",538
"surA",1608
"lptD",3295
"djlA",107
"yabP",267
"rluA",91
"rapA",467
"polB",138
"araD",5
"araA",33
"araB",14
"araC",120
"yabI",118
"thiQ",97
"thiP",189
"thiB",404
"sgrR",155
"sgrS",0
"sgrT",0
"setA",129
"leuD",3113
"leuC",5835
"leuB",4040
"leuA",5387
"leuL",145
"leuO",13
"ilvI",2680
"ilvH",807
"cra",531
"mraZ",395
"rsmH",590
"ftsL",199
"ftsI",810
"murE",971
"murF",975
"mraY",321
"murD",564
"ftsW",470
"murG",399
"murC",726
"ddlB",480
"ftsQ",541
"ftsA",1200
"ftsZ",3135
"lpxC",3317
"secM",656
"secA",1913
"mutT",38
"yacG",101
"zapD",252
"coaE",181
"guaC",1054
"hofC",38
"hofB",25
"ppdD",3
"nadC",300
"ampD",75
"ampE",227
"aroP",2642
"pdhR",322
"aceE",11640
"aceF",6040
"lpd",10855
"yacH",54
"acnB",10704
"yacL",170
"speD",1175
"speE",1027
"yacC",182
"cueO",276
"gcd",1852
"hpt",262
"can",2230
"yadG",310
"yadH",136
"yadI",57
"yadE",92
"panD",740
"yadD",60
"panC",1282
"panB",752
"yadC",19
"yadK",2
"yadL",16
"yadM",10
"htrE",18
"yadV",4
"yadN",1
"folK",150
"pcnB",1358
"gluQ",80
"dksA",1349
"sfsA",358
"ligT",74
"hrpB",219
"mrcB",586
"fhuA",3979
"fhuC",478
"fhuD",255
"fhuB",412
"hemL",1026
"clcA",221
"erpA",341
"yadS",71
"btuF",158
"mtn",587
"dgt",244
"degP",1009
"cdaR",37
"yaeH",539
"yaeI",48
"dapD",2833
"glnD",795
"map",1050
"tff",854
"rpsB",8532
"tsf",3742
"pyrH",788
"frr",2187
"dxr",263
"ispU",511
"cdsA",357
"rseP",1004
"bamA",4691
"skp",1800
"lpxD",2957
"fabZ",764
"lpxA",1237
"lpxB",549
"rnhB",176
"dnaE",998
"accA",1001
"ldcC",216
"yaeR",70
"tilS",263
"rof",160
"yaeP",137
"yaeQ",67
"arfB",76
"nlpE",171
"yaeF",20
"proS",2232
"tsaA",187
"rcsF",264
"metQ",2928
"metI",462
"metN",610
"gmhB",210
"rrsH",1815
"ileV",0
"alaV",3
"rrlH",39981
"rrfH",0
"aspU",24
"dkgB",102
"yafC",122
"yafD",533
"yafE",60
"mltD",1715
"gloB",216
"yafS",104
"rnhA",84
"dnaQ",205
"aspV",44
"yafT",13
"ykfM",1
"yafU",1
"yafF",7
"yafV",130
"ivy",424
"fadE",217
"gmhA",488
"yafJ",511
"yafK",469
"yafQ",102
"dinJ",149
"yafL",9
"rayT",32
"lfhA",36
"lafU",6
"dinB",96
"yafN",28
"yafO",40
"yafP",21
"ykfJ",0
"prfH",40
"pepD",2244
"gpt",146
"frsA",204
"crl",69
"phoE",9
"proB",959
"proA",954
"thrW",46
"ykfN",1
"ykfI",13
"yafW",4
"ykfH",1
"ykfG",8
"yafX",35
"ykfF",10
"ykfB",364
"yafY",24
"ykfL",1
"ykfK",3
"yafZ",30
"ykfA",40
"perR",37
"insN",101
"insI1",2
"eyeA",15
"ykfC",101
"insH1",3
"mmuP",74
"mmuM",118
"afuC",10
"afuB",3
"insX",52
"yagB",33
"yagA",4
"yagE",14
"yagF",45
"yagG",33
"yagH",85
"yagI",123
"argF",541
"ykgS",1
"yagJ",31
"yagK",16
"yagL",14
"yagM",6
"yagN",222
"intF",310
"ptwF",6
"yagP",14
"ykgT",0
"paoD",18
"paoC",34
"paoB",18
"paoA",15
"yagU",1001
"ykgJ",39
"ecpE",26
"ecpD",42
"ecpC",42
"ecpB",14
"ecpA",42
"ecpR",2
"ykgL",8
"ykgO",6
"ykgM",6
"ykgR",0
"ykgP",0
"eaeH",1
"insE1",0
"insF1",0
"ykgA",51
"ykgQ",1
"rclC",9
"rclB",3
"rclA",29
"rclR",18
"ykgE",5
"ykgF",37
"ykgG",36
"ykgH",4
"betA",242
"betB",380
"betI",173
"betT",164
"yahA",131
"yahB",66
"yahC",3
"yahD",23
"yahE",1
"yahF",12
"yahG",31
"yahI",8
"yahJ",141
"yahK",383
"yahL",1
"yahM",11
"yahN",9
"yahO",150
"prpR",36
"prpB",2
"prpC",3
"prpD",7
"prpE",25
"codB",661
"codA",1129
"cynR",36
"cynT",10
"cynS",17
"cynX",15
"lacA",13
"lacY",17
"lacZ",46
"lacI",200
"mhpR",146
"mhpA",11
"mhpB",11
"mhpC",29
"mhpD",14
"mhpF",25
"mhpE",22
"mhpT",28
"yaiL",108
"frmB",147
"frmA",390
"frmR",84
"yaiO",6
"yaiX",3
"insC1",0
"insD1",6
"yaiP",8
"yaiS",2
"tauA",11
"tauB",14
"tauC",6
"tauD",29
