"","x"
"thrL",332
"thrA",7077
"thrB",2060
"thrC",2361
"yaaX",61
"yaaA",140
"yaaJ",58
"talB",2589
"mog",102
"satP",48
"yaaW",6
"yaaI",2
"dnaK",3076
"dnaJ",501
"insL1",0
"mokC",0
"hokC",0
"sokC",1
"nhaA",107
"nhaR",99
"insB1",67
"insA",36
"rpsT",1367
"yaaY",17
"ribF",539
"ileS",4043
"lspA",383
"fkpB",316
"ispH",368
"rihC",60
"dapB",584
"carA",3639
"carB",10570
"caiF",71
"caiE",18
"caiD",4
"caiC",35
"caiB",31
"caiA",29
"caiT",4
"fixA",1
"fixB",3
"fixC",5
"fixX",1
"yaaU",11
"kefF",17
"kefC",110
"folA",79
"apaH",188
"apaG",159
"rsmA",375
"pdxA",450
"surA",1105
"lptD",2153
"djlA",123
"yabP",99
"rluA",50
"rapA",274
"polB",103
"araD",3
"araA",21
"araB",16
"araC",100
"yabI",93
"thiQ",86
"thiP",240
"thiB",354
"sgrR",118
"sgrS",0
"sgrT",0
"setA",114
"leuD",1198
"leuC",2742
"leuB",1884
"leuA",2346
"leuL",94
"leuO",16
"ilvI",2107
"ilvH",739
"cra",451
"mraZ",208
"rsmH",342
"ftsL",95
"ftsI",421
"murE",548
"murF",544
"mraY",242
"murD",417
"ftsW",292
"murG",301
"murC",625
"ddlB",308
"ftsQ",336
"ftsA",683
"ftsZ",2215
"lpxC",2577
"secM",306
"secA",1704
"mutT",52
"yacG",69
"zapD",225
"coaE",90
"guaC",750
"hofC",29
"hofB",33
"ppdD",3
"nadC",215
"ampD",88
"ampE",200
"aroP",2499
"pdhR",460
"aceE",10123
"aceF",5947
"lpd",7813
"yacH",48
"acnB",7832
"yacL",115
"speD",1001
"speE",890
"yacC",55
"cueO",1208
"gcd",1370
"hpt",265
"can",1290
"yadG",198
"yadH",118
"yadI",41
"yadE",66
"panD",367
"yadD",80
"panC",934
"panB",644
"yadC",16
"yadK",4
"yadL",9
"yadM",3
"htrE",8
"yadV",1
"yadN",1
"folK",115
"pcnB",989
"gluQ",35
"dksA",997
"sfsA",214
"ligT",39
"hrpB",200
"mrcB",436
"fhuA",2755
"fhuC",364
"fhuD",203
"fhuB",314
"hemL",841
"clcA",168
"erpA",244
"yadS",60
"btuF",108
"mtn",454
"dgt",227
"degP",740
"cdaR",39
"yaeH",291
"yaeI",57
"dapD",2080
"glnD",724
"map",890
"tff",448
"rpsB",7393
"tsf",4205
"pyrH",912
"frr",1734
"dxr",193
"ispU",403
"cdsA",338
"rseP",795
"bamA",3719
"skp",1685
"lpxD",1827
"fabZ",514
"lpxA",752
"lpxB",333
"rnhB",115
"dnaE",633
"accA",891
"ldcC",151
"yaeR",55
"tilS",159
"rof",119
"yaeP",75
"yaeQ",70
"arfB",58
"nlpE",130
"yaeF",20
"proS",1822
"tsaA",124
"rcsF",182
"metQ",2641
"metI",346
"metN",380
"gmhB",186
"rrsH",4767
"ileV",0
"alaV",12
"rrlH",61669
"rrfH",0
"aspU",24
"dkgB",54
"yafC",66
"yafD",367
"yafE",67
"mltD",828
"gloB",103
"yafS",98
"rnhA",87
"dnaQ",151
"aspV",12
"yafT",6
"ykfM",1
"yafU",2
"yafF",5
"yafV",87
"ivy",226
"fadE",119
"gmhA",486
"yafJ",415
"yafK",317
"yafQ",113
"dinJ",80
"yafL",9
"rayT",38
"lfhA",21
"lafU",7
"dinB",48
"yafN",12
"yafO",15
"yafP",10
"ykfJ",0
"prfH",38
"pepD",1586
"gpt",149
"frsA",213
"crl",18
"phoE",2
"proB",740
"proA",705
"thrW",15
"ykfN",3
"ykfI",15
"yafW",7
"ykfH",3
"ykfG",9
"yafX",37
"ykfF",19
"ykfB",255
"yafY",28
"ykfL",2
"ykfK",0
"yafZ",18
"ykfA",33
"perR",18
"insN",51
"insI1",2
"eyeA",5
"ykfC",48
"insH1",5
"mmuP",73
"mmuM",93
"afuC",14
"afuB",1
"insX",46
"yagB",31
"yagA",7
"yagE",10
"yagF",51
"yagG",11
"yagH",80
"yagI",228
"argF",1289
"ykgS",1
"yagJ",34
"yagK",24
"yagL",3
"yagM",4
"yagN",93
"intF",151
"ptwF",4
"yagP",6
"ykgT",0
"paoD",15
"paoC",42
"paoB",16
"paoA",6
"yagU",763
"ykgJ",33
"ecpE",27
"ecpD",34
"ecpC",31
"ecpB",8
"ecpA",37
"ecpR",4
"ykgL",97
"ykgO",257
"ykgM",452
"ykgR",1
"ykgP",0
"eaeH",0
"insE1",0
"insF1",0
"ykgA",28
"ykgQ",0
"rclC",5
"rclB",0
"rclA",15
"rclR",6
"ykgE",7
"ykgF",31
"ykgG",16
"ykgH",2
"betA",155
"betB",245
"betI",92
"betT",89
"yahA",45
"yahB",36
"yahC",2
"yahD",21
"yahE",4
"yahF",8
"yahG",26
"yahI",10
"yahJ",81
"yahK",195
"yahL",0
"yahM",4
"yahN",8
"yahO",94
"prpR",21
"prpB",4
"prpC",4
"prpD",5
"prpE",13
"codB",1667
"codA",2629
"cynR",36
"cynT",17
"cynS",12
"cynX",11
"lacA",8
"lacY",7
"lacZ",24
"lacI",128
"mhpR",81
"mhpA",7
"mhpB",8
"mhpC",16
"mhpD",11
"mhpF",16
"mhpE",19
"mhpT",27
"yaiL",105
"frmB",88
"frmA",312
"frmR",65
"yaiO",7
"yaiX",4
"insC1",0
"insD1",2
"yaiP",8
"yaiS",0
"tauA",13
"tauB",13
"tauC",9
"tauD",29
"hemB",419
"yaiT",69
"yaiV",3
"ampH",125
"sbmA",102
"yaiW",110
"yaiY",17
"yaiZ",17
"ddlA",168
"iraP",95
"phoA",148
"psiF",22
"yaiC",19
"proC",158
"yaiI",51
"aroL",410
"yaiA",201
"aroM",42
"yaiE",252
"ykiA",25
"rdgC",224
"mak",111
"araJ",79
"sbcC",246
"sbcD",70
"phoB",53
"phoR",51
"brnQ",225
"proY",141
"malZ",149
"acpH",46
"queA",118
"tgt",363
"yajC",542
"secD",1281
"secF",536
"yajD",52
"tsx",678
"yajI",23
"nrdR",171
"ribD",492
"ribE",447
"nusB",512
"thiL",148
"pgpA",250
"yajO",223
"dxs",583
"ispA",351
"xseB",70
"thiI",280
"yajL",146
"panE",189
"yajQ",503
"yajR",81
"cyoE",2730
"cyoD",1072
"cyoC",2018
"cyoB",7146
"cyoA",3779
"ampG",295
"yajG",287
"bolA",297
"tig",5185
"clpP",1051
"clpX",2217
"lon",1754
"hupB",2335
"ppiD",1194
"ybaV",26
"fadM",13
"queC",133
"ybaE",36
"cof",60
"ybaO",24
"mdlA",59
"mdlB",65
"glnK",24
"amtB",227
"tesB",89
"ybaY",266
"ybaZ",53
"ffs",71
"ybaA",9
"ylaB",44
"ylaC",71
"maa",72
"hha",161
"tomB",71
"acrB",2034
"acrA",962
"acrR",87
"mscK",262
"ybaM",23
"priC",62
"ybaN",141
"apt",315
"dnaX",535
"ybaB",437
"recR",474
"htpG",679
"adk",970
"hemH",91
"aes",26
"gsk",219
"ybaL",418
"fsr",93
"ushA",461
"ybaK",89
"chiX",2
"ybaP",104
"ybaQ",153
"copA",4813
"glsA",52
"ybaT",37
"cueR",94
"ybbJ",66
"qmcA",166
"fetA",68
"fetB",90
"ybbN",523
"ybbO",203
"tesA",127
"ybbA",70
"ybbP",164
"rhsD",69
"ybbC",15
"rhsH",9
"ybbD",2
"ylbI",6
"ylbG",25
"mnmH",35
"allS",2
"allA",6
"allR",400
"gcl",13
"hyi",0
"glxR",4
"ybbW",2
"allB",14
"ybbY",3
"glxK",27
"allE",83
"allC",27
"allD",7
"fdrA",4
"ylbE",10
"ylbF",2
"ybcF",36
"purK",617
"purE",317
"lpxH",253
"ppiB",1198
"cysS",431
"ybcI",13
"ybcJ",131
"folD",463
"sfmA",1
"sfmC",4
"sfmD",10
"sfmH",1
"sfmF",2
"sfmZ",4
"argU",0
"intD",133
"xisD",0
"exoD",0
"peaD",0
"renD",15
"emrE",26
"ybcK",4
"ybcL",11
"ybcM",27
"ylcH",1
"ybcN",1
"ninE",0
"ybcO",2
"rusA",2
"ylcG",1
"quuD",2
"nmpC",1204
"essD",7
"rrrD",9
"rzpD",19
"rzoD",0
"borD",159
"ybcV",1
"ybcW",1
"ylcI",1
"nohD",2
"aaaD",0
"tfaD",3
"ybcY",14
"tfaX",3
"appY",22
"ompT",10532
"pauD",1
"envY",11
"ybcH",20
"nfrA",60
"nfrB",19
"cusS",96
"cusR",64
"cusC",234
"cusF",119
"cusB",191
"cusA",231
"pheP",115
"ybdG",138
"nfsB",358
"ybdF",43
"ybdJ",17
"ybdK",51
"sokE",1
"hokE",0
"entD",786
"fepA",17174
"fes",1170
"ybdZ",245
"entF",8144
"fepE",38
"fepC",252
"fepG",175
"fepD",129
"entS",425
"fepB",581
"entC",3247
"entE",4361
"entB",2780
"entA",2121
"entH",1199
"cstA",1229
"ybdD",43
"ybdH",137
"ybdL",100
"ybdM",26
"ybdN",11
"ybdO",7
"dsbG",82
"ahpC",4590
"ahpF",634
"uspG",242
"ybdR",30
"rnk",109
"rna",169
"citT",11
"citG",5
"citX",4
"citF",4
"citE",6
"citD",1
"citC",4
"citA",57
"citB",26
"dcuC",24
"pagP",14
"cspE",2781
"flc",30
"ybeM",51
"tatE",138
"lipA",366
"ybeF",16
"lipB",145
"ybeD",98
"dacA",551
"rlpA",674
"mrdB",151
"mrdA",240
"rlmH",148
"rsfS",115
"cobC",51
"nadD",124
"holA",227
"lptE",425
"leuS",2143
"ybeL",133
"ybeQ",35
